,close,PCT_CHG,delta,symbol,name,source,date,revision,date_stamp
69,1133.91,0.0219,24.25,BK1020,非金属材料,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
70,709.64,0.022000000000000002,15.28,BK0732,贵金属,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
71,26477.54,0.022400000000000003,579.92,BK0538,化学制品,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
72,1533.94,0.0232,34.83,BK1032,风电设备,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
73,28545.36,0.023399999999999997,652.03,BK0481,汽车零部件,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
74,1760.32,0.023700000000000002,40.68,BK1031,光伏设备,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
75,1536.06,0.023700000000000002,35.5,BK1030,电机,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
76,14690.62,0.0239,342.95,BK0433,农牧饲渔,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
77,1758.95,0.0241,41.31,BK1027,小金属,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
78,1178.64,0.025099999999999997,28.83,BK1041,医疗器械,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
79,1255.51,0.0264,32.27,BK1043,专业服务,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
80,27683.3,0.0291,782.21,BK0438,食品饮料,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
81,1109.12,0.0313,33.69,BK0733,包装材料,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
82,22878.48,0.0338,748.84,BK0457,电网设备,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
83,1608.58,0.0393,60.87,BK1033,电池,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
84,12493.19,0.040999999999999995,492.27,BK0485,旅游酒店,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
85,975.0,0.0451,42.06,BK1015,能源金属,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
