,close,PCT_CHG,delta,symbol,name,source,date,revision,date_stamp
182,9787.28,0.013600000000000001,131.4,BK0528,转债标的,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
183,1664.52,0.0137,22.43,BK0856,工业大麻,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
184,4413.81,0.0137,59.5,BK0629,北斗导航,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
185,876.41,0.0137,11.83,BK0999,茅指数,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
186,1699.68,0.0137,22.99,BK0577,核能核电,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
187,3528.57,0.0138,47.89,BK0640,智能机器,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
188,2700.09,0.0138,36.67,BK0891,国产芯片,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
189,1756.32,0.0138,23.91,BK0633,送转预期,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
190,1503.01,0.0138,20.5,BK0823,养老金,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
191,1652.07,0.0139,22.58,BK0835,独角兽,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
192,11185.48,0.0139,153.43,BK0520,社保重仓,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
193,1124.3,0.0141,15.62,BK0801,增强现实,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
194,2611.11,0.0141,36.42,BK0641,智能穿戴,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
195,1126.1,0.014199999999999999,15.77,BK0920,车联网,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
196,1596.25,0.0143,22.53,BK0882,猪肉概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
197,3023.21,0.0143,42.71,BK0675,病毒防治,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
198,1683.79,0.0143,23.81,BK0973,注射器概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
199,1278.33,0.0144,18.11,BK0864,氢能源,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
200,1812.34,0.0144,25.69,BK0704,无人机,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
201,1494.18,0.0146,21.45,BK0917,半导体概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
202,1760.18,0.0146,25.33,BK0909,降解塑料,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
203,1376.6,0.0147,19.93,BK0901,3D摄像头,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
204,2718.96,0.0149,39.83,BK0666,苹果概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
205,1504.84,0.0149,22.06,BK0852,冷链物流,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
206,2265.36,0.0149,33.34,BK0840,OLED,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
207,586.25,0.015,8.66,BK0940,网红直播,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
208,34473.87,0.015,509.36,BK0548,生物疫苗,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
209,13202.34,0.0151,196.01,BK0552,机构重仓,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
210,3677.11,0.0152,55.18,BK0723,高送转,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
211,2567.44,0.0152,38.56,BK0854,华为概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
212,17086.0,0.015300000000000001,258.15,BK0535,QFII重仓,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
213,1234.03,0.0154,18.69,BK1003,抽水蓄能,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
214,1302.08,0.0154,19.78,BK0916,氮化镓,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
215,1920.5,0.0154,29.19,BK0888,农业种植,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
216,1053.5,0.0155,16.03,BK0928,抖音小店,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
217,1037.78,0.0155,15.81,BK0807,共享经济,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
218,1179.43,0.0155,18.0,BK0853,电子竞技,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
219,992.4,0.015600000000000001,15.21,BK0947,屏下摄像,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
220,1893.99,0.015600000000000001,29.04,BK0570,预亏预减,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
221,23993.25,0.015600000000000001,369.6,BK0512,化工原料,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
222,1311.11,0.015700000000000002,20.26,BK0939,辅助生殖,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
223,15136.89,0.015700000000000002,234.11,BK0493,新能源,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
224,2180.54,0.015700000000000002,33.75,BK0578,稀土永磁,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
225,1900.28,0.0158,29.63,BK0671,彩票概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
226,1427.37,0.0159,22.31,BK0875,ETC,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
227,3228.43,0.0159,50.49,BK0588,太阳能,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
228,941.88,0.0159,14.74,BK0887,鸡肉概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
229,9730.19,0.016,153.47,BK0556,移动支付,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
230,898.68,0.0161,14.22,BK0722,虚拟现实,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
231,960.42,0.0161,15.23,BK0714,5G概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
232,1288.18,0.0161,20.43,BK0802,无人驾驶,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
233,1264.66,0.0161,20.08,BK0969,汽车芯片,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
234,1488.93,0.016200000000000003,23.68,BK0877,PCB,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
235,890.53,0.016200000000000003,14.2,BK0944,肝素概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
236,1491.53,0.0163,23.89,BK0981,工业气体,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
237,5132.89,0.0163,82.29,BK0563,油价相关,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
238,971.98,0.016399999999999998,15.68,BK0995,华为昇腾,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
239,1000.16,0.016399999999999998,16.14,BK0831,万达概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
240,1719.92,0.0167,28.21,BK1009,元宇宙概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
241,4045.23,0.0167,66.64,BK0668,医疗器械概念,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
242,1184.02,0.0169,19.63,BK0929,地塞米松,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
243,1205.47,0.0169,20.08,BK0983,核污染防治,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
244,1454.3,0.017,24.31,BK0952,第三代半导体,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
245,1367.79,0.017,22.92,BK0742,创业板综,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
246,1038.56,0.0172,17.6,BK0820,壳资源,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
